UUID,gpu_slot,hostname,workload_type,vram_mb,vram_gb,sm_clock_median,power_median,power_mean,power_std,gpu_temp_median,mem_temp_median,n_samples,power_state,vram_tier
GPU-anon-0001-0000-0000-000000000000,0,node-1,other,74724.0,72.97265625,1980.0,131.104,131.10730491295016,0.08401229048542831,45.0,49.0,25158,cuda_active,large (40+ GB)
GPU-anon-0002-0000-0000-000000000000,1,node-1,embedding,3.0,0.0029296875,345.0,71.626,71.62632645679307,0.027996723107614814,36.0,42.0,25158,bare_idle,empty (< 0.1 GB)
GPU-anon-0003-0000-0000-000000000000,2,node-1,llm_inference,62168.0,60.7109375,1980.0,127.032,127.03605155417759,0.060934770328716074,39.0,43.0,25158,cuda_active,large (40+ GB)
GPU-anon-0004-0000-0000-000000000000,3,node-1,voice_ai,0.0,0.0,345.0,72.655,73.38415658292256,6.05031433666874,40.0,47.0,25156,bare_idle,empty (< 0.1 GB)
GPU-anon-0005-0000-0000-000000000000,4,node-1,other,0.0,0.0,345.0,72.863,72.82849065829227,0.2461831660662658,39.0,45.0,25156,bare_idle,empty (< 0.1 GB)
GPU-anon-0006-0000-0000-000000000000,5,node-1,voice_ai,0.0,0.0,345.0,72.461,73.09063611066942,5.836147401730953,35.0,43.0,25156,bare_idle,empty (< 0.1 GB)
GPU-anon-0007-0000-0000-000000000000,6,node-1,voice_ai,0.0,0.0,345.0,72.686,73.43812903482271,6.266744583458419,38.0,43.0,25156,bare_idle,empty (< 0.1 GB)
GPU-anon-0008-0000-0000-000000000000,7,node-1,voice_ai,0.0,0.0,345.0,73.03,73.72528263634918,5.758572661106234,34.0,41.0,25156,bare_idle,empty (< 0.1 GB)
GPU-anon-0009-0000-0000-000000000000,0,node-2,voice_ai,72488.0,70.7890625,1980.0,149.721,151.37534080865652,6.097362994316144,38.0,45.0,24213,cuda_active,large (40+ GB)
GPU-anon-0010-0000-0000-000000000000,2,node-2,computer_vision,3324.0,3.24609375,1980.0,149.079,149.08537552624193,0.047713977087553115,34.0,39.0,24941,cuda_active,small (< 5 GB)
GPU-anon-0011-0000-0000-000000000000,4,node-2,other,78038.0,76.208984375,1980.0,155.164,155.38415797317438,4.41554528386792,40.0,46.0,24827,cuda_active,large (40+ GB)
GPU-anon-0012-0000-0000-000000000000,5,node-2,other,78036.0,76.20703125,1980.0,151.705,151.92131919948457,4.559698960001111,36.0,42.0,24834,cuda_active,large (40+ GB)
GPU-anon-0013-0000-0000-000000000000,6,node-2,other,79000.0,77.1484375,1980.0,153.333,153.33626294053968,0.05815379798056736,37.0,44.0,24941,cuda_active,large (40+ GB)
GPU-anon-0014-0000-0000-000000000000,7,node-2,other,0.0,0.0,345.0,98.963,98.95985561080238,0.030313390343644858,31.0,37.0,10257,bare_idle,empty (< 0.1 GB)
